,sym_1,sym_2,p_value,t_value,critical_value,hedge_ratio,zero_crossing
325,SOLUSDT,LTCUSDT,0.04,-3.42,-3.35,1.77,67
746,AGIXUSDT,FETUSDT,0.0,-4.37,-3.35,0.41,65
277,DUSKUSDT,WLDUSDT,0.01,-3.97,-3.35,0.07,64
859,WLDUSDT,ZRXUSDT,0.01,-3.99,-3.35,10.0,63
762,AMBUSDT,NKNUSDT,0.0,-5.57,-3.35,0.07,59
336,LRCUSDT,IOTAUSDT,0.0,-4.38,-3.35,1.12,59
586,DYDXUSDT,KEYUSDT,0.01,-4.01,-3.35,313.36,57
786,AMBUSDT,GTCUSDT,0.0,-4.75,-3.35,0.01,57
320,MBLUSDT,STPTUSDT,0.01,-3.86,-3.35,0.08,56
524,AXSUSDT,ONEUSDT,0.01,-3.96,-3.35,349.93,55
695,STGUSDT,NKNUSDT,0.01,-3.86,-3.35,4.12,54
857,PENDLEUSDT,ETHUSDT,0.0,-4.11,-3.35,0.0,54
856,PENDLEUSDT,BTCUSDT,0.0,-4.19,-3.35,0.0,54
547,BADGERUSDT,KEYUSDT,0.0,-4.98,-3.35,627.52,53
914,RONINUSDT,POLYXUSDT,0.0,-4.28,-3.35,7.24,53
234,ALGOUSDT,ARKUSDT,0.03,-3.55,-3.35,0.24,52
555,ICPUSDT,IDUSDT,0.01,-4.08,-3.35,18.01,52
527,GRTUSDT,JUPUSDT,0.0,-4.23,-3.35,0.25,51
327,CHRUSDT,BCHUSDT,0.0,-4.25,-3.35,0.0,51
357,STORJUSDT,ATOMUSDT,0.03,-3.49,-3.35,0.06,51
227,ENJUSDT,ICXUSDT,0.04,-3.44,-3.35,1.4,51
310,RENUSDT,YGGUSDT,0.0,-4.52,-3.35,0.07,51
503,AVAXUSDT,ONEUSDT,0.01,-3.79,-3.35,1717.85,50
556,ARUSDT,ARKMUSDT,0.0,-4.12,-3.35,15.53,49
79,LTCUSDT,SKLUSDT,0.01,-3.9,-3.35,857.64,49
863,SEIUSDT,LPTUSDT,0.03,-3.5,-3.35,0.04,49
912,PYTHUSDT,JUPUSDT,0.02,-3.6,-3.35,0.59,48
529,TRUUSDT,SUPERUSDT,0.0,-4.25,-3.35,0.12,48
190,VETUSDT,BTCUSDT,0.03,-3.59,-3.35,0.0,48
748,SSVUSDT,THETAUSDT,0.04,-3.45,-3.35,18.23,48
525,AXSUSDT,KEYUSDT,0.03,-3.49,-3.35,1019.84,48
663,ASTRUSDT,FTMUSDT,0.04,-3.46,-3.35,0.15,47
841,RDNTUSDT,NKNUSDT,0.0,-4.28,-3.35,1.69,47
521,INJUSDT,AXLUSDT,0.0,-4.42,-3.35,22.98,47
602,IDEXUSDT,KAVAUSDT,0.01,-3.86,-3.35,0.09,47
900,MANTAUSDT,STRKUSDT,0.0,-4.51,-3.35,1.47,47
317,MBLUSDT,LINKUSDT,0.02,-3.72,-3.35,0.0,46
724,HIFIUSDT,OMGUSDT,0.01,-3.89,-3.35,1.2,46
775,AMBUSDT,XVSUSDT,0.0,-4.8,-3.35,0.0,46
508,FILUSDT,CTSIUSDT,0.02,-3.68,-3.35,30.66,46
526,GRTUSDT,IDUSDT,0.02,-3.64,-3.35,0.36,45
904,JUPUSDT,INJUSDT,0.04,-3.45,-3.35,0.04,45
67,LTCUSDT,ZECUSDT,0.03,-3.47,-3.35,3.64,45
815,GASUSDT,BATUSDT,0.03,-3.54,-3.35,21.09,45
456,OCEANUSDT,AGIXUSDT,0.02,-3.62,-3.35,1.03,45
790,AMBUSDT,YGGUSDT,0.0,-5.36,-3.35,0.01,44
835,ARBUSDT,SKLUSDT,0.0,-4.91,-3.35,12.33,44
666,ASTRUSDT,SPELLUSDT,0.02,-3.68,-3.35,117.05,44
858,PENDLEUSDT,LTCUSDT,0.0,-4.17,-3.35,0.07,44
737,HIFIUSDT,FILUSDT,0.02,-3.65,-3.35,0.13,44
862,SEIUSDT,ANKRUSDT,0.04,-3.38,-3.35,11.82,43
706,HFTUSDT,ENJUSDT,0.03,-3.58,-3.35,0.94,43
761,AMBUSDT,RENUSDT,0.0,-4.6,-3.35,0.14,43
745,HIFIUSDT,RADUSDT,0.01,-3.92,-3.35,0.45,43
776,AMBUSDT,ALPHAUSDT,0.0,-4.38,-3.35,0.07,43
816,GASUSDT,IOSTUSDT,0.02,-3.71,-3.35,559.96,43
241,DOGEUSDT,ATOMUSDT,0.01,-3.88,-3.35,0.02,43
792,AMBUSDT,BICOUSDT,0.0,-4.37,-3.35,0.02,42
651,JOEUSDT,NKNUSDT,0.0,-4.15,-3.35,4.28,42
731,HIFIUSDT,CRVUSDT,0.0,-4.56,-3.35,1.84,42
506,FILUSDT,NKNUSDT,0.02,-3.6,-3.35,47.6,42
233,ALGOUSDT,SSVUSDT,0.0,-5.97,-3.35,0.0,42
693,STGUSDT,KEYUSDT,0.0,-4.8,-3.35,76.09,42
131,ADAUSDT,SKLUSDT,0.0,-4.37,-3.35,5.02,41
844,SNTUSDT,XRPUSDT,0.01,-4.01,-3.35,0.08,41
353,STORJUSDT,IOTAUSDT,0.04,-3.44,-3.35,2.31,41
794,AMBUSDT,JOEUSDT,0.0,-4.88,-3.35,0.02,41
930,WIFUSDT,ANKRUSDT,0.02,-3.72,-3.35,59.98,41
712,HFTUSDT,SNXUSDT,0.04,-3.43,-3.35,0.11,40
678,LDOUSDT,ONEUSDT,0.01,-4.02,-3.35,96.12,40
146,ADAUSDT,MAGICUSDT,0.02,-3.74,-3.35,0.59,40
784,AMBUSDT,CFXUSDT,0.03,-3.53,-3.35,0.04,40
897,MANTAUSDT,YGGUSDT,0.03,-3.5,-3.35,2.13,40
136,ADAUSDT,WAXPUSDT,0.02,-3.76,-3.35,6.83,39
898,MANTAUSDT,BICOUSDT,0.0,-4.85,-3.35,3.66,39
865,ARKUSDT,LINKUSDT,0.0,-4.21,-3.35,0.05,39
717,HFTUSDT,AAVEUSDT,0.01,-3.77,-3.35,0.0,39
801,AMBUSDT,RDNTUSDT,0.01,-3.91,-3.35,0.04,39
603,IDEXUSDT,IOTXUSDT,0.04,-3.43,-3.35,1.11,39
504,AVAXUSDT,KEYUSDT,0.0,-4.58,-3.35,5006.54,38
530,TRUUSDT,RNDRUSDT,0.02,-3.63,-3.35,0.01,38
772,AMBUSDT,TRBUSDT,0.01,-3.95,-3.35,0.0,38
601,IDEXUSDT,NKNUSDT,0.02,-3.69,-3.35,0.48,38
107,QTUMUSDT,IOSTUSDT,0.0,-4.24,-3.35,415.48,38
243,DOGEUSDT,XTZUSDT,0.0,-4.11,-3.35,0.15,38
653,JOEUSDT,OGNUSDT,0.04,-3.44,-3.35,3.46,38
747,SSVUSDT,HOTUSDT,0.0,-4.36,-3.35,16583.27,38
817,GASUSDT,CELRUSDT,0.0,-4.19,-3.35,202.01,38
90,LTCUSDT,SPELLUSDT,0.03,-3.51,-3.35,89161.26,38
236,DOGEUSDT,ETCUSDT,0.02,-3.7,-3.35,0.01,38
585,DYDXUSDT,ONEUSDT,0.04,-3.41,-3.35,107.47,38
667,ASTRUSDT,TUSDT,0.03,-3.47,-3.35,2.94,37
621,MOVRUSDT,IOTXUSDT,0.04,-3.41,-3.35,234.11,37
650,JOEUSDT,RENUSDT,0.01,-3.8,-3.35,8.4,37
165,XLMUSDT,SOLUSDT,0.04,-3.4,-3.35,0.0,37
374,YFIUSDT,SOLUSDT,0.03,-3.57,-3.35,48.09,37
674,STEEMUSDT,LEVERUSDT,0.04,-3.39,-3.35,93.83,37
587,DYDXUSDT,CTSIUSDT,0.0,-4.37,-3.35,10.93,37
744,HIFIUSDT,YGGUSDT,0.0,-4.42,-3.35,0.89,37
696,STGUSDT,OGNUSDT,0.0,-4.14,-3.35,3.34,37
907,PYTHUSDT,INJUSDT,0.01,-3.92,-3.35,0.02,37
303,RENUSDT,CFXUSDT,0.02,-3.7,-3.35,0.26,36
890,XAIUSDT,NKNUSDT,0.02,-3.74,-3.35,5.76,36
254,DOGEUSDT,BALUSDT,0.01,-3.87,-3.35,0.04,36
348,ZENUSDT,WLDUSDT,0.03,-3.53,-3.35,1.74,36
771,AMBUSDT,RSRUSDT,0.01,-3.88,-3.35,1.38,36
528,RIFUSDT,ZRXUSDT,0.04,-3.44,-3.35,0.39,36
811,AMBUSDT,ETHFIUSDT,0.02,-3.72,-3.35,0.0,36
373,YFIUSDT,BNTUSDT,0.03,-3.56,-3.35,9687.04,36
608,IDEXUSDT,ALPHAUSDT,0.01,-3.79,-3.35,0.51,36
314,RLCUSDT,FETUSDT,0.03,-3.56,-3.35,1.25,36
802,AMBUSDT,EDUUSDT,0.05,-3.35,-3.35,0.01,36
113,QTUMUSDT,JASMYUSDT,0.01,-3.8,-3.35,218.2,35
607,IDEXUSDT,XVSUSDT,0.01,-3.77,-3.35,0.01,35
452,CRVUSDT,KEYUSDT,0.04,-3.44,-3.35,63.47,35
931,WIFUSDT,UNIUSDT,0.02,-3.67,-3.35,0.35,35
505,FILUSDT,KEYUSDT,0.0,-4.12,-3.35,879.06,35
522,AXSUSDT,IOTAUSDT,0.05,-3.36,-3.35,31.57,35
383,YFIUSDT,DOTUSDT,0.02,-3.73,-3.35,998.87,35
927,PORTALUSDT,YGGUSDT,0.02,-3.73,-3.35,1.16,35
833,IDUSDT,INJUSDT,0.05,-3.37,-3.35,0.03,34
610,IDEXUSDT,AXSUSDT,0.04,-3.44,-3.35,0.01,34
819,GASUSDT,MTLUSDT,0.01,-3.95,-3.35,3.22,34
797,AMBUSDT,STGUSDT,0.0,-4.52,-3.35,0.02,34
119,QTUMUSDT,ENAUSDT,0.01,-3.81,-3.35,3.89,34
644,JOEUSDT,OMGUSDT,0.0,-4.22,-3.35,0.81,34
588,DYDXUSDT,MDTUSDT,0.01,-4.01,-3.35,28.61,34
65,NEOUSDT,SFPUSDT,0.02,-3.67,-3.35,22.87,34
872,ORDIUSDT,NKNUSDT,0.02,-3.73,-3.35,378.12,34
875,BEAMXUSDT,FETUSDT,0.02,-3.68,-3.35,0.01,34
358,STORJUSDT,DOGEUSDT,0.05,-3.37,-3.35,3.56,34
499,UNIUSDT,KEYUSDT,0.04,-3.4,-3.35,1085.09,34
659,IMXUSDT,SKLUSDT,0.05,-3.35,-3.35,22.5,34
531,TRUUSDT,PHBUSDT,0.01,-3.77,-3.35,0.06,34
807,AMBUSDT,ACEUSDT,0.01,-3.84,-3.35,0.0,34
257,DOGEUSDT,KSMUSDT,0.05,-3.36,-3.35,0.0,33
911,PYTHUSDT,WLDUSDT,0.0,-4.63,-3.35,0.12,33
