,sym_1,sym_2,p_value,t_value,critical_value,hedge_ratio,zero_crossing
821,AGIXUSDT,FETUSDT,0.02,-3.74,-3.35,0.41,72
668,API3USDT,ONEUSDT,0.0,-4.23,-3.35,116.34,69
646,JOEUSDT,GTCUSDT,0.01,-3.79,-3.35,0.44,63
411,CELOUSDT,ONEUSDT,0.02,-3.62,-3.35,38.97,62
234,DUSKUSDT,WLDUSDT,0.01,-3.99,-3.35,0.07,62
690,API3USDT,LITUSDT,0.0,-5.14,-3.35,2.26,60
866,AMBUSDT,NKNUSDT,0.0,-5.0,-3.35,0.07,60
979,WLDUSDT,ZRXUSDT,0.01,-4.09,-3.35,9.99,59
678,API3USDT,SANDUSDT,0.04,-3.43,-3.35,5.29,59
518,WAXPUSDT,XEMUSDT,0.04,-3.42,-3.35,1.8,59
888,AMBUSDT,GTCUSDT,0.0,-4.67,-3.35,0.01,58
274,BCHUSDT,CHRUSDT,0.0,-4.81,-3.35,1560.5,57
828,LQTYUSDT,NKNUSDT,0.0,-5.2,-3.35,8.31,56
188,ENJUSDT,ICXUSDT,0.04,-3.47,-3.35,1.4,56
537,DYDXUSDT,KEYUSDT,0.01,-4.0,-3.35,313.23,55
649,JOEUSDT,YGGUSDT,0.0,-5.96,-3.35,0.6,55
689,API3USDT,CELOUSDT,0.0,-4.94,-3.35,2.98,54
977,PENDLEUSDT,ETHUSDT,0.01,-3.87,-3.35,0.0,54
1025,BLURUSDT,ATOMUSDT,0.03,-3.59,-3.35,0.05,53
673,API3USDT,LRCUSDT,0.02,-3.64,-3.35,9.35,53
681,API3USDT,RUNEUSDT,0.01,-4.08,-3.35,0.45,52
682,API3USDT,UMAUSDT,0.04,-3.43,-3.35,0.88,52
976,PENDLEUSDT,BTCUSDT,0.01,-3.92,-3.35,0.0,52
410,CELOUSDT,ZRXUSDT,0.0,-4.13,-3.35,1.59,52
566,ILVUSDT,ZILUSDT,0.03,-3.49,-3.35,3810.33,52
396,AVAXUSDT,ONEUSDT,0.01,-3.94,-3.35,1718.83,52
1085,MANTAUSDT,STRKUSDT,0.0,-4.55,-3.35,1.47,51
390,UNIUSDT,VANRYUSDT,0.01,-3.95,-3.35,46.87,51
409,GRTUSDT,JUPUSDT,0.0,-4.12,-3.35,0.25,51
1091,RONINUSDT,POLYXUSDT,0.0,-4.27,-3.35,7.24,51
1026,BLURUSDT,ONEUSDT,0.01,-3.88,-3.35,19.2,51
399,FILUSDT,NKNUSDT,0.03,-3.49,-3.35,47.56,50
435,ICPUSDT,IDUSDT,0.01,-4.08,-3.35,18.02,50
982,SEIUSDT,LPTUSDT,0.03,-3.53,-3.35,0.04,49
359,OCEANUSDT,AGIXUSDT,0.01,-3.93,-3.35,1.03,49
194,ALGOUSDT,ARKUSDT,0.03,-3.57,-3.35,0.24,49
429,BADGERUSDT,KEYUSDT,0.0,-4.87,-3.35,626.68,49
851,LQTYUSDT,YGGUSDT,0.0,-5.31,-3.35,1.17,49
745,LDOUSDT,OXTUSDT,0.01,-3.93,-3.35,18.81,49
433,BADGERUSDT,CTSIUSDT,0.05,-3.37,-3.35,21.88,48
413,TRUUSDT,SUPERUSDT,0.0,-4.34,-3.35,0.12,48
705,API3USDT,APEUSDT,0.03,-3.51,-3.35,1.94,48
310,MDTUSDT,USTCUSDT,0.0,-4.53,-3.35,4.2,48
728,ASTRUSDT,FTMUSDT,0.01,-3.79,-3.35,0.15,47
782,HFTUSDT,ENJUSDT,0.04,-3.44,-3.35,0.93,47
549,IDEXUSDT,KAVAUSDT,0.01,-3.87,-3.35,0.09,47
494,MINAUSDT,ROSEUSDT,0.05,-3.35,-3.35,8.39,47
489,MINAUSDT,ANKRUSDT,0.0,-4.17,-3.35,17.54,47
641,JOEUSDT,ALICEUSDT,0.04,-3.42,-3.35,0.43,47
267,RENUSDT,YGGUSDT,0.0,-5.12,-3.35,0.07,47
404,INJUSDT,AXLUSDT,0.02,-3.72,-3.35,23.01,47
878,AMBUSDT,XVSUSDT,0.0,-4.81,-3.35,0.0,46
775,GMXUSDT,APTUSDT,0.01,-3.86,-3.35,2.99,46
1083,MANTAUSDT,BICOUSDT,0.0,-4.36,-3.35,3.65,46
195,ALGOUSDT,WIFUSDT,0.03,-3.53,-3.35,0.06,46
436,ARUSDT,ARKMUSDT,0.0,-4.51,-3.35,15.54,46
408,GRTUSDT,IDUSDT,0.02,-3.64,-3.35,0.36,46
598,CVXUSDT,YGGUSDT,0.0,-4.97,-3.35,2.86,45
519,WAXPUSDT,SKLUSDT,0.0,-4.37,-3.35,0.74,45
948,EDUUSDT,YGGUSDT,0.01,-4.03,-3.35,0.66,45
454,C98USDT,CRVUSDT,0.04,-3.45,-3.35,0.65,45
85,LTCUSDT,SKLUSDT,0.05,-3.35,-3.35,859.68,45
916,RDNTUSDT,NKNUSDT,0.0,-4.53,-3.35,1.68,45
879,AMBUSDT,ALPHAUSDT,0.0,-4.15,-3.35,0.07,45
804,HIFIUSDT,OMGUSDT,0.03,-3.55,-3.35,1.2,45
765,STGUSDT,KEYUSDT,0.0,-5.0,-3.35,76.0,45
151,VETUSDT,BTCUSDT,0.03,-3.54,-3.35,0.0,44
894,GASUSDT,IOSTUSDT,0.02,-3.74,-3.35,559.95,44
635,JOEUSDT,AUDIOUSDT,0.0,-5.11,-3.35,2.89,44
734,ASTRUSDT,SPELLUSDT,0.02,-3.68,-3.35,117.06,44
852,LQTYUSDT,BICOUSDT,0.02,-3.69,-3.35,2.0,44
827,LQTYUSDT,RENUSDT,0.01,-4.07,-3.35,16.34,44
504,WAXPUSDT,LINKUSDT,0.0,-4.36,-3.35,0.0,44
767,STGUSDT,NKNUSDT,0.01,-3.92,-3.35,4.12,44
102,QTUMUSDT,IOSTUSDT,0.0,-4.4,-3.35,415.89,43
1110,WIFUSDT,ZECUSDT,0.0,-4.75,-3.35,0.13,43
1088,PYTHUSDT,ZRXUSDT,0.03,-3.49,-3.35,1.2,43
865,AMBUSDT,RENUSDT,0.0,-4.71,-3.35,0.14,43
818,HIFIUSDT,FILUSDT,0.03,-3.47,-3.35,0.13,43
575,AUCTIONUSDT,COMPUSDT,0.03,-3.5,-3.35,0.31,43
1148,ETHFIUSDT,XVGUSDT,0.02,-3.6,-3.35,634.23,42
499,MINAUSDT,BOMEUSDT,0.01,-3.78,-3.35,81.24,42
913,ARBUSDT,SKLUSDT,0.0,-4.18,-3.35,12.34,42
813,HIFIUSDT,CRVUSDT,0.0,-4.16,-3.35,1.84,42
505,WAXPUSDT,DASHUSDT,0.01,-3.86,-3.35,0.0,42
893,GASUSDT,BATUSDT,0.03,-3.56,-3.35,21.09,42
308,MDTUSDT,STGUSDT,0.04,-3.39,-3.35,0.14,41
571,AUCTIONUSDT,ZRXUSDT,0.0,-4.43,-3.35,33.43,41
671,API3USDT,KAVAUSDT,0.01,-3.98,-3.35,3.47,41
292,MDTUSDT,RUNEUSDT,0.04,-3.47,-3.35,0.01,40
193,ALGOUSDT,SSVUSDT,0.0,-5.98,-3.35,0.0,40
662,GLMRUSDT,NKNUSDT,0.04,-3.38,-3.35,2.46,40
620,JOEUSDT,NKNUSDT,0.01,-4.08,-3.35,4.27,40
555,IDEXUSDT,ALPHAUSDT,0.03,-3.59,-3.35,0.51,40
321,ZENUSDT,AVAXUSDT,0.03,-3.57,-3.35,0.25,40
732,ASTRUSDT,KLAYUSDT,0.04,-3.45,-3.35,0.55,40
397,AVAXUSDT,KEYUSDT,0.0,-4.58,-3.35,5006.8,39
286,MDTUSDT,KEYUSDT,0.02,-3.61,-3.35,10.95,39
953,SNTUSDT,XRPUSDT,0.01,-4.02,-3.35,0.08,39
230,DUSKUSDT,RIFUSDT,0.01,-4.05,-3.35,1.81,39
677,API3USDT,CRVUSDT,0.04,-3.45,-3.35,5.34,39
939,EDUUSDT,RSRUSDT,0.0,-4.42,-3.35,93.59,39
252,RENUSDT,SUSHIUSDT,0.01,-3.95,-3.35,0.06,39
309,MDTUSDT,HOOKUSDT,0.04,-3.39,-3.35,0.08,39
538,DYDXUSDT,CTSIUSDT,0.0,-4.22,-3.35,10.93,39
501,WAXPUSDT,ADAUSDT,0.02,-3.76,-3.35,0.15,39
978,PENDLEUSDT,LTCUSDT,0.01,-3.91,-3.35,0.07,38
261,RENUSDT,CFXUSDT,0.01,-4.0,-3.35,0.26,38
1077,XAIUSDT,NKNUSDT,0.01,-3.79,-3.35,5.75,38
822,SSVUSDT,HOTUSDT,0.01,-4.05,-3.35,16584.61,38
528,WAXPUSDT,SPELLUSDT,0.02,-3.69,-3.35,76.54,38
460,C98USDT,1INCHUSDT,0.01,-3.92,-3.35,0.7,38
886,AMBUSDT,CFXUSDT,0.02,-3.62,-3.35,0.04,38
895,GASUSDT,CELRUSDT,0.0,-4.31,-3.35,201.99,38
621,JOEUSDT,OGNUSDT,0.0,-4.83,-3.35,3.47,38
601,CVXUSDT,STGUSDT,0.01,-3.98,-3.35,4.93,38
599,CVXUSDT,BICOUSDT,0.0,-4.82,-3.35,4.89,38
415,TRUUSDT,PHBUSDT,0.01,-3.8,-3.35,0.06,38
950,EDUUSDT,BICOUSDT,0.0,-4.83,-3.35,1.13,38
981,SEIUSDT,ANKRUSDT,0.03,-3.48,-3.35,11.8,37
368,EGLDUSDT,IOTXUSDT,0.02,-3.63,-3.35,712.34,37
926,RDNTUSDT,HIFIUSDT,0.03,-3.5,-3.35,0.27,37
403,INJUSDT,PYTHUSDT,0.02,-3.76,-3.35,42.62,37
653,IMXUSDT,SKLUSDT,0.04,-3.46,-3.35,22.51,37
388,UNIUSDT,COMBOUSDT,0.02,-3.61,-3.35,10.76,37
686,API3USDT,AXSUSDT,0.02,-3.67,-3.35,0.33,37
747,LDOUSDT,AAVEUSDT,0.04,-3.46,-3.35,0.02,37
349,YFIUSDT,SOLUSDT,0.03,-3.57,-3.35,48.1,37
490,MINAUSDT,CHZUSDT,0.02,-3.61,-3.35,7.28,37
110,QTUMUSDT,JASMYUSDT,0.01,-3.82,-3.35,218.13,37
1109,WIFUSDT,LINKUSDT,0.0,-4.24,-3.35,0.2,37
874,AMBUSDT,TRBUSDT,0.04,-3.46,-3.35,0.0,36
684,API3USDT,AVAXUSDT,0.01,-3.82,-3.35,0.07,36
303,MDTUSDT,ENSUSDT,0.0,-4.21,-3.35,0.01,36
330,ZENUSDT,WLDUSDT,0.03,-3.52,-3.35,1.74,36
364,EGLDUSDT,ZRXUSDT,0.03,-3.54,-3.35,80.19,36
414,TRUUSDT,RNDRUSDT,0.02,-3.61,-3.35,0.01,36
202,DOGEUSDT,ATOMUSDT,0.01,-3.87,-3.35,0.02,36
448,C98USDT,DENTUSDT,0.03,-3.51,-3.35,216.05,36
749,LDOUSDT,CELOUSDT,0.04,-3.45,-3.35,2.47,36
197,DOGEUSDT,ETCUSDT,0.01,-3.89,-3.35,0.01,36
912,ARBUSDT,KSMUSDT,0.04,-3.39,-3.35,0.04,35
927,RDNTUSDT,AMBUSDT,0.02,-3.63,-3.35,24.3,35
529,WAXPUSDT,OPUSDT,0.02,-3.74,-3.35,0.03,35
465,C98USDT,YGGUSDT,0.0,-4.95,-3.35,0.31,35
1022,BLURUSDT,WAVESUSDT,0.03,-3.51,-3.35,0.17,35
1075,XAIUSDT,KEYUSDT,0.0,-4.29,-3.35,106.05,35
495,MINAUSDT,SKLUSDT,0.01,-3.79,-3.35,8.87,35
329,ZENUSDT,COMBOUSDT,0.01,-3.94,-3.35,12.31,35
937,EDUUSDT,OGNUSDT,0.0,-4.41,-3.35,3.81,35
768,STGUSDT,OGNUSDT,0.01,-3.78,-3.35,3.34,35
619,JOEUSDT,RENUSDT,0.02,-3.73,-3.35,8.4,35
602,CVXUSDT,HIFIUSDT,0.0,-4.45,-3.35,3.2,35
557,IDEXUSDT,AXSUSDT,0.03,-3.49,-3.35,0.01,35
299,MDTUSDT,DYDXUSDT,0.01,-4.01,-3.35,0.03,35
972,MAVUSDT,YGGUSDT,0.0,-5.09,-3.35,0.47,34
384,UNIUSDT,BADGERUSDT,0.03,-3.55,-3.35,1.73,34
378,UNIUSDT,KEYUSDT,0.03,-3.53,-3.35,1083.42,34
644,JOEUSDT,BAKEUSDT,0.01,-4.11,-3.35,2.11,34
718,API3USDT,VANRYUSDT,0.03,-3.58,-3.35,14.64,34
929,RDNTUSDT,ALTUSDT,0.03,-3.53,-3.35,0.53,34
930,RDNTUSDT,ETHFIUSDT,0.01,-3.95,-3.35,0.06,34
306,MDTUSDT,APEUSDT,0.01,-3.95,-3.35,0.06,34
996,ARKUSDT,LINKUSDT,0.01,-3.86,-3.35,0.05,34
788,HFTUSDT,CRVUSDT,0.01,-3.83,-3.35,0.69,34
1014,ORDIUSDT,NKNUSDT,0.03,-3.55,-3.35,377.96,34
925,RDNTUSDT,BICOUSDT,0.0,-4.99,-3.35,0.41,34
213,DOGEUSDT,BALUSDT,0.01,-3.98,-3.35,0.04,34
204,DOGEUSDT,XTZUSDT,0.01,-3.97,-3.35,0.15,34
1018,BEAMXUSDT,FETUSDT,0.02,-3.76,-3.35,0.01,34
496,MINAUSDT,GALAUSDT,0.04,-3.46,-3.35,17.9,34
199,DOGEUSDT,WAVESUSDT,0.04,-3.46,-3.35,0.06,34
817,HIFIUSDT,ALPHAUSDT,0.02,-3.61,-3.35,6.71,34
738,STEEMUSDT,SSVUSDT,0.04,-3.44,-3.35,0.01,34
76,NEOUSDT,SFPUSDT,0.02,-3.7,-3.35,22.88,34
116,QTUMUSDT,ENAUSDT,0.02,-3.76,-3.35,3.89,34
412,CELOUSDT,KEYUSDT,0.0,-4.75,-3.35,113.51,34
612,JOEUSDT,OMGUSDT,0.0,-4.67,-3.35,0.81,34
735,ASTRUSDT,TUSDT,0.05,-3.36,-3.35,2.94,33
307,MDTUSDT,OPUSDT,0.02,-3.63,-3.35,0.03,33
783,HFTUSDT,KEYUSDT,0.01,-4.06,-3.35,43.58,33
873,AMBUSDT,RSRUSDT,0.04,-3.38,-3.35,1.38,33
777,GMXUSDT,WLDUSDT,0.03,-3.55,-3.35,5.6,33
791,HFTUSDT,AAVEUSDT,0.03,-3.51,-3.35,0.0,33
579,MOVRUSDT,OGNUSDT,0.02,-3.65,-3.35,82.43,33
1030,BLURUSDT,CTSIUSDT,0.04,-3.4,-3.35,1.95,33
567,ILVUSDT,ONEUSDT,0.02,-3.68,-3.35,4584.95,33
521,WAXPUSDT,KLAYUSDT,0.04,-3.43,-3.35,0.36,33
699,API3USDT,YGGUSDT,0.0,-6.03,-3.35,2.58,33
880,AMBUSDT,AUDIOUSDT,0.0,-4.82,-3.35,0.05,32
394,AVAXUSDT,ETCUSDT,0.03,-3.59,-3.35,1.38,32
1076,XAIUSDT,RENUSDT,0.04,-3.47,-3.35,11.29,32
305,MDTUSDT,PEOPLEUSDT,0.01,-4.02,-3.35,2.99,32
897,GASUSDT,MTLUSDT,0.01,-4.03,-3.35,3.23,32
857,AMBUSDT,OMGUSDT,0.0,-4.75,-3.35,0.01,32
523,WAXPUSDT,GALAUSDT,0.04,-3.44,-3.35,1.49,32
1107,PORTALUSDT,YGGUSDT,0.0,-4.16,-3.35,1.16,32
924,RDNTUSDT,YGGUSDT,0.0,-4.85,-3.35,0.24,32
710,API3USDT,USTCUSDT,0.0,-4.5,-3.35,129.98,32
666,API3USDT,IOTAUSDT,0.04,-3.38,-3.35,10.49,31
556,IDEXUSDT,AAVEUSDT,0.02,-3.62,-3.35,0.0,31
322,ZENUSDT,ROSEUSDT,0.03,-3.55,-3.35,91.89,31
698,API3USDT,ILVUSDT,0.02,-3.68,-3.35,0.03,31
235,DUSKUSDT,DYMUSDT,0.0,-4.29,-3.35,0.1,31
236,DUSKUSDT,AXLUSDT,0.04,-3.4,-3.35,0.32,31
706,API3USDT,OPUSDT,0.01,-3.9,-3.35,1.05,31
237,ANKRUSDT,HOTUSDT,0.01,-3.93,-3.35,19.54,31
297,MDTUSDT,BADGERUSDT,0.02,-3.69,-3.35,0.02,31
1084,MANTAUSDT,ALTUSDT,0.05,-3.37,-3.35,4.75,31
357,OCEANUSDT,LPTUSDT,0.02,-3.73,-3.35,0.07,31
650,JOEUSDT,RADUSDT,0.01,-3.81,-3.35,0.3,31
691,API3USDT,BADGERUSDT,0.04,-3.45,-3.35,0.54,31
277,BCHUSDT,AVAXUSDT,0.03,-3.49,-3.35,13.71,31
708,API3USDT,HOOKUSDT,0.05,-3.37,-3.35,2.51,31
711,API3USDT,GLMUSDT,0.0,-4.78,-3.35,6.17,31
470,C98USDT,ETHFIUSDT,0.01,-3.93,-3.35,0.07,31
458,C98USDT,AAVEUSDT,0.0,-4.14,-3.35,0.0,31
634,JOEUSDT,ALPHAUSDT,0.0,-4.85,-3.35,4.53,31
596,CVXUSDT,REEFUSDT,0.05,-3.37,-3.35,1188.9,31
442,GTCUSDT,OMGUSDT,0.03,-3.57,-3.35,1.86,31
849,LQTYUSDT,MASKUSDT,0.0,-4.2,-3.35,0.31,31
293,MDTUSDT,UMAUSDT,0.04,-3.42,-3.35,0.03,30
113,QTUMUSDT,PENDLEUSDT,0.03,-3.56,-3.35,0.68,30
1149,ETHFIUSDT,GTCUSDT,0.02,-3.67,-3.35,3.1,30
301,MDTUSDT,FRONTUSDT,0.02,-3.62,-3.35,0.09,30
560,IDEXUSDT,REEFUSDT,0.0,-4.44,-3.35,28.22,30
891,GASUSDT,XRPUSDT,0.02,-3.61,-3.35,10.64,30
643,JOEUSDT,CFXUSDT,0.04,-3.39,-3.35,2.23,30
760,STGUSDT,OMGUSDT,0.02,-3.71,-3.35,0.78,30
212,DOGEUSDT,STORJUSDT,0.04,-3.38,-3.35,0.28,30
154,USDCUSDT,BNBUSDT,0.0,-4.28,-3.35,0.0,30
769,STGUSDT,CTSIUSDT,0.02,-3.61,-3.35,2.65,30
737,STEEMUSDT,THETAUSDT,0.01,-4.06,-3.35,0.12,30
510,WAXPUSDT,SOLUSDT,0.03,-3.55,-3.35,0.0,30
348,YFIUSDT,BNTUSDT,0.02,-3.73,-3.35,9682.0,30
800,HOOKUSDT,OGNUSDT,0.0,-4.14,-3.35,5.94,30
453,C98USDT,STMXUSDT,0.05,-3.35,-3.35,37.82,30
167,USDCUSDT,VETUSDT,0.02,-3.7,-3.35,23.61,30
485,FLOWUSDT,IOTAUSDT,0.03,-3.52,-3.35,3.97,29
101,QTUMUSDT,VETUSDT,0.01,-3.89,-3.35,102.51,29
